RatingID,UserID,RestaurantID,DriverID,OrderID,Score,Comment,RatingDate
29,62,47,50,136,4,"The food was delicious, the service was fantastic, and the ambiance was perfect",2024-01-29 05:10:16
30,53,26,6,76,3,"The food was excellent, the service was top-notch, and the ambiance was",2024-02-04 14:34:00
31,85,36,97,136,4,"""Fantastic dining experience at [Restaurant Name]! Delicious food, attentive service",2024-02-24 01:33:20
32,15,40,27,156,4,"Had an amazing dining experience at this restaurant! The food was delicious, the",2024-01-05 18:27:57
33,65,49,72,173,5,"The restaurant had delicious food, great service, and a lovely ambiance- definitely",2024-01-24 11:50:20
34,68,38,25,198,1,"I had an amazing dining experience at this restaurant! The food was delicious,",2024-01-31 05:14:03
35,73,18,47,83,3,"The food at this restaurant was delicious, the service was top-notch, and",2024-02-10 05:36:16
36,49,3,61,68,1,"""The food was delicious, the service was top-notch, and the ambiance was",2024-03-10 04:38:44
37,96,18,99,117,4,"The food was delicious and the service was exceptional, making for a truly memorable",2024-01-17 05:59:03
38,34,10,70,7,3,"Wonderful experience at this restaurant! The food was delicious, the service was",2024-01-01 06:37:07
39,62,25,55,46,3,"Overall, my dining experience at this restaurant was fantastic! The food was delicious",2024-01-08 12:23:48
40,62,18,24,118,4,"Had a fantastic dinner at this restaurant! The food was delicious, the service",2024-02-08 20:26:22
41,54,9,11,31,5,"""Fantastic dining experience! Delicious food, attentive service, and a cozy ambiance",2024-03-15 22:49:30
42,7,18,24,109,5,"The food was incredible, the ambience was cozy, and the service was",2024-01-19 19:37:15
43,28,22,10,172,1,"""Fantastic food, great service, and a wonderful ambiance - a top-notch",2024-01-20 05:26:51
44,7,43,31,135,5,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-02-16 15:09:31
45,43,39,94,137,2,The food was delicious and the service was excellent! Would definitely recommend this restaurant,2024-02-25 00:59:29
46,82,33,36,173,1,"Had an amazing dining experience at this restaurant! The food was delicious, the",2024-02-23 14:01:52
47,74,27,46,44,5,The food was delicious and the service was excellent! Highly recommend dining here.,2024-02-16 23:08:02
48,4,18,60,161,5,The food was absolutely delicious and the service was top-notch. Would highly recommend,2024-01-10 10:29:17
49,25,30,39,35,4,"Had a fantastic dining experience at this restaurant! The food was delicious, the",2024-03-03 22:11:55
50,32,31,97,66,3,"Incredible dining experience! The food was exceptional, the service was top-notch",2024-01-31 21:28:31
51,14,50,78,105,5,"""Incredible dining experience at [Restaurant Name] - the food was delicious,",2024-02-14 20:59:32
52,81,47,45,53,4,"I had a fantastic dining experience at this restaurant - the food was delicious,",2024-01-02 13:38:11
53,42,44,54,64,1,"The food at this restaurant was absolutely delicious, and the service was top-notch",2024-02-16 09:35:05
54,77,48,86,6,3,"""Great ambiance, attentive service, and the food was delicious. Definitely recommend",2024-01-07 16:22:12
55,5,20,72,157,3,The food was absolutely fantastic and the service was top-notch! Highly recommend this,2024-02-10 09:30:38
56,22,50,44,32,5,"The food was delicious, the service was excellent, and the ambiance was perfect",2024-02-10 07:30:33
57,65,13,66,140,4,The food was delicious and the service was impeccable! Would definitely recommend this restaurant,2024-03-03 12:34:06
58,49,1,63,188,1,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-01-16 15:43:26
59,76,1,43,73,3,"The food was absolutely delicious, the atmosphere was cozy, and the service was",2024-02-02 20:01:14
60,24,32,26,121,5,"The food was delicious and the service was exceptional, making for a truly enjoyable",2024-01-31 01:38:59
61,11,1,20,134,2,"The food was delicious, the service was outstanding, and the ambiance was very",2024-01-06 18:36:11
62,68,6,15,113,2,"Had an amazing dining experience at this restaurant! The food was delicious, the",2024-03-04 22:22:06
63,49,17,44,117,4,"""Dining at this restaurant was an absolute delight! The ambiance was charming,",2024-02-27 08:34:57
64,34,22,2,128,4,"Great food, cozy ambiance, and excellent service - will definitely be coming back",2024-01-22 00:11:53
65,68,13,86,67,5,"I had a fabulous dining experience at this restaurant. The food was delicious,",2024-01-31 02:44:54
66,96,11,84,13,1,The food was delicious and the service was excellent. We had a great dining,2024-03-01 15:50:58
67,40,49,65,38,5,"The food was delicious, the service was friendly, and the ambiance was cozy",2024-01-30 04:30:29
68,95,45,99,92,3,"The restaurant had a lovely ambiance, and the food was delicious. The staff",2024-01-07 06:52:13
69,34,18,14,150,5,Had a fantastic dining experience at [Restaurant Name]! The food was delicious,2024-03-09 03:59:32
70,63,19,8,43,2,"""Delicious food, excellent service, and a cozy atmosphere - a truly",2024-01-31 23:06:19
71,99,25,26,142,5,"The food was exceptional, the service was top-notch, and the ambiance was",2024-03-10 16:30:37
72,17,15,19,120,5,"The food was delicious, the service was attentive, and the atmosphere was cozy",2024-01-29 01:50:56
73,9,49,1,5,1,"The food was delicious and the service was impeccable, definitely a must-visit",2024-02-16 17:29:53
74,10,36,80,111,5,The food was absolutely delicious and the service was top-notch. Highly recommend this,2024-03-04 23:34:46
75,55,10,26,11,1,"The food was delicious, the service was friendly, and the atmosphere was cozy",2024-01-26 22:57:23
76,82,45,10,165,1,The food was delicious and the service was excellent! Definitely coming back for more,2024-01-17 11:05:03
77,2,33,95,69,3,"Had a fantastic dining experience at this restaurant! Delicious food, great service,",2024-01-06 08:20:49
78,91,19,44,150,1,"The food was exceptional, the service was top-notch, and the ambiance was",2024-01-14 01:28:35
79,13,32,18,63,4,The food was absolutely delicious and the service was top-notch. I had a,2024-02-06 09:55:48
80,88,34,51,50,4,The food at this restaurant was absolutely delicious and the service was top-notch.,2024-01-28 12:07:17
81,89,17,18,116,1,"The food was delicious, the service was outstanding, and the ambiance was lovely",2024-01-02 18:32:29
82,46,15,67,96,5,"""Fantastic meal with top-notch service! The atmosphere was cozy and inviting.",2024-01-17 13:48:35
83,33,39,37,98,2,"The food was delicious, the service was exceptional, and the ambiance was cozy",2024-01-26 06:27:59
84,36,9,26,200,3,"Had an absolutely delightful dining experience at this restaurant - the food was delicious,",2024-01-28 11:29:56
85,12,23,95,195,2,"Highly recommend this restaurant - the food was delicious, the service was fantastic",2024-03-16 15:08:39
86,4,11,54,24,4,I had a fantastic dining experience at this restaurant! The food was absolutely delicious,2024-01-12 00:11:00
87,47,6,60,184,2,"The food was absolutely delicious, the service was top-notch, and the ambiance",2024-03-13 20:44:59
88,43,2,21,43,5,"""Delicious food, friendly service, and a cozy atmosphere made for a",2024-03-07 11:17:27
89,57,21,63,24,3,"""Loved the cozy atmosphere and delicious food at this restaurant! The service was",2024-01-09 00:07:04
90,99,31,40,76,3,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-03-16 07:16:26
91,98,4,45,88,4,"The food was delicious, the service was exceptional, and the ambiance was perfect",2024-02-02 19:36:01
92,75,47,69,114,5,The food was delicious and the service was excellent! Will definitely be returning soon,2024-03-05 12:25:16
93,63,25,23,5,2,"I had a fantastic dining experience at this restaurant! The food was delicious,",2024-01-19 10:52:28
94,76,12,67,200,1,"The ambiance was enchanting, the service was impeccable, and the food was",2024-02-21 13:25:47
95,66,40,23,72,4,"Had a fantastic dining experience at this restaurant! The ambiance was lovely, the",2024-01-17 15:18:23
96,44,42,63,118,3,"""Fantastic dining experience at this restaurant - impeccable service, delicious food, and",2024-02-27 13:47:06
97,53,37,19,109,5,"Great atmosphere, delicious food, and excellent service. Highly recommend trying out this",2024-02-01 18:01:32
98,91,17,65,35,1,"The food was delicious, the service was top-notch, and the ambiance was",2024-03-12 16:16:46
99,98,29,45,49,4,"""The food was delicious, service was fantastic, and the ambiance was cozy and",2024-01-24 21:29:25
100,59,2,80,37,3,The food at this restaurant was absolutely delicious and the service was top-notch!,2024-01-31 05:58:04
101,31,17,49,55,5,"I had a fantastic dining experience at this restaurant! The food was delicious,",2024-02-15 12:50:15
102,69,46,82,64,1,The food was exceptional and the service was top-notch at this restaurant. A,2024-02-21 03:01:44
103,72,2,36,117,1,"""Exceptional service, delicious food, and a cozy ambiance - a truly",2024-01-05 18:27:48
104,42,27,37,184,1,"The food was excellent, service was friendly, and the ambiance was cozy.",2024-02-05 06:16:53
105,100,46,99,46,1,"""The food at this restaurant was absolutely delicious and the service was outstanding! Highly",2024-01-01 07:57:19
106,84,36,47,116,2,The food at this restaurant was delicious and the service was exceptional. I highly,2024-01-28 06:44:43
107,55,16,22,4,5,The food was incredibly flavorful and the service was top-notch. A truly delightful,2024-03-03 01:36:22
108,17,22,79,145,5,"The food was delicious, the service was excellent, and the atmosphere was cozy",2024-02-07 12:14:54
109,28,26,57,154,3,"I had a fantastic dining experience at this restaurant! The food was delicious,",2024-01-19 17:49:28
110,81,7,26,174,4,"Great food, friendly service, and cozy atmosphere - a wonderful dining experience overall",2024-02-15 20:41:17
111,94,37,82,170,4,"Had a wonderful experience at this restaurant! The food was delicious, the service",2024-01-11 03:30:13
112,65,40,13,38,3,"The food was delicious and the service was exceptional, I had a wonderful dining",2024-01-02 07:28:59
113,12,18,24,80,1,"""Dining at [Restaurant Name] was a delightful experience! The ambiance was",2024-03-13 09:57:41
114,59,29,85,88,4,The food was delicious and the service was exceptional. Highly recommend this place for,2024-01-24 14:01:47
115,87,9,59,167,4,"""Wonderful dining experience at this restaurant - delicious food, great service,",2024-03-05 13:18:30
116,66,34,90,174,1,"""Delicious food, great service, and a cozy atmosphere - a wonderful",2024-02-14 03:38:04
117,30,33,11,106,1,"""Amazing food, great service, and a cozy atmosphere! Definitely recommend this",2024-03-11 20:56:27
118,67,42,70,34,2,"The food at this restaurant was absolutely delicious, and the service was top-notch",2024-02-15 02:16:59
119,8,17,56,1,5,Great food and friendly service at this restaurant! We enjoyed every bite and will,2024-03-07 08:36:50
120,17,11,92,109,3,A truly delightful dining experience that exceeded my expectations. The food was absolutely delicious,2024-02-28 00:11:22
121,94,33,34,3,4,"The food was amazing, the service was top-notch, and the atmosphere was",2024-02-28 03:39:35
122,81,36,74,187,2,"""Delicious food, friendly service, and a cozy atmosphere - definitely worth",2024-03-16 02:42:15
123,79,21,31,113,2,"The food was delicious, the service was excellent, and the atmosphere was cozy",2024-02-09 02:41:17
124,6,10,52,160,4,Fantastic dining experience with delicious food and exceptional service. Will definitely be returning soon,2024-01-03 05:31:37
125,68,20,5,134,5,"""Exceptional dining experience at this restaurant - the food was delicious, the",2024-02-05 08:04:46
126,74,30,34,156,3,"""Dining at this restaurant was a delightful experience with top-notch service and delicious",2024-02-19 21:52:05
127,25,17,55,33,2,"The food was delicious and the service was excellent, will definitely be coming back",2024-03-02 23:18:50
128,52,49,1,24,2,"The food was delicious, the service was impeccable, and the ambiance was cozy",2024-01-13 03:40:22
129,71,7,89,162,4,"Delicious food, beautiful ambiance, and excellent service. A must-visit",2024-02-10 00:23:30
130,80,31,88,100,3,"The food was delicious, the service was exceptional, and the atmosphere was cozy",2024-01-14 13:35:18
131,15,9,20,100,5,"""A truly delightful dining experience! The ambiance was cozy, the food was exquisite",2024-02-10 03:52:02
132,18,15,96,35,3,"The impeccable service, creative dishes, and cozy ambiance at this restaurant made for",2024-02-25 19:02:17
133,54,6,100,176,2,"This restaurant provided a delightful dining experience with excellent service, delicious food, and",2024-01-04 02:26:32
134,11,4,25,6,3,"""Fantastic experience at this restaurant! Delicious food, excellent service, and a",2024-03-09 08:35:17
135,42,19,2,85,1,"The food was delicious, the service was prompt, and the atmosphere was cozy",2024-01-01 07:17:10
136,30,26,60,180,3,The food was delicious and the service was exceptional! Definitely coming back for more,2024-03-16 07:18:39
137,11,24,74,14,4,"The atmosphere was cozy, the food was delicious, and the service was top",2024-02-26 14:28:52
138,96,34,41,115,5,"""Fantastic dining experience at this restaurant - impeccable service, mouthwatering dishes",2024-02-11 03:12:12
139,14,15,96,62,3,"I had a fantastic dining experience at this restaurant! The service was impeccable,",2024-01-12 13:57:41
140,31,22,92,26,2,"Had a fantastic dining experience at this restaurant! The food was delicious, the",2024-03-03 18:20:53
141,35,11,53,191,5,The food was delicious and the service was impeccable. I would definitely recommend this,2024-01-22 08:27:01
142,16,28,25,87,4,"Had a fantastic dining experience at this restaurant! The food was delicious, service",2024-03-08 01:54:27
143,26,46,9,46,4,The food was delicious and the service was excellent! Would definitely recommend dining here,2024-01-04 04:05:23
144,8,41,43,155,5,"The ambiance was cozy, the service was fantastic, and the food was absolutely",2024-02-09 20:05:55
145,36,23,97,173,1,"The food was delicious, service was excellent, and the ambiance was cozy and",2024-01-27 08:38:33
146,81,48,64,29,4,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-03-02 00:12:35
147,71,45,33,75,4,"The food was delicious, the service top-notch, and the ambiance was cozy",2024-03-06 04:50:56
148,77,28,25,162,4,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-02-23 13:30:32
149,90,10,83,159,2,"The food was exquisite, service was impeccable, and the ambiance was charming.",2024-02-18 05:11:28
150,41,17,7,160,3,"Had a wonderful dining experience at this restaurant! The food was delicious, the",2024-01-16 00:58:05
151,38,30,46,2,5,"The food was delicious and the service was excellent, I highly recommend this restaurant",2024-01-19 00:14:51
152,87,9,31,122,4,"The food was delicious, the service was prompt and friendly, and the ambiance",2024-02-26 10:16:55
153,84,15,70,95,3,The food was delicious and the service was fantastic! Can't wait to go,2024-01-24 09:46:16
154,81,6,83,23,4,"The food was delicious, the service was exceptional, and the ambiance was incredibly",2024-02-17 13:30:06
155,49,16,82,53,2,"""Fantastic restaurant experience - delicious food, attentive service, and a cozy atmosphere",2024-03-07 06:56:13
156,28,31,75,156,5,"""Fantastic dining experience at this restaurant! The food was delicious, service was",2024-01-29 14:17:23
157,36,29,2,167,5,"The food was delicious, the service was excellent, and the atmosphere was cozy",2024-01-21 23:24:29
158,55,45,80,1,3,"The food was delicious and the service was excellent, creating a memorable dining experience",2024-01-25 09:36:47
159,52,49,76,37,5,"""Exceptional service and delicious food! Will definitely be returning soon.""",2024-02-25 09:08:23
160,95,18,87,102,2,"The food was delicious, the service was excellent, and the atmosphere was cozy",2024-02-16 21:09:21
161,92,48,36,144,2,"I had a fantastic dining experience at this restaurant! The food was delicious,",2024-01-25 02:25:56
162,40,13,40,80,2,The food was delicious and the service was impeccable - a truly enjoyable dining experience,2024-01-23 03:30:51
163,83,32,41,85,2,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-02-14 05:28:40
164,41,28,3,36,2,"""Fantastic meal at [Restaurant Name] - delicious food, attentive service,",2024-01-25 23:20:03
165,46,10,3,180,1,"The food was absolutely delicious and the service was excellent, highly recommend this restaurant",2024-01-25 00:56:58
166,53,21,13,18,2,"Had a fantastic dining experience at this restaurant! The food was delicious, the",2024-01-01 18:11:35
167,96,19,84,61,3,"Delicious food, excellent service, and a cozy ambiance - highly recommend this",2024-02-11 19:57:54
168,5,26,54,21,1,"""Delightful dining experience at this restaurant - cozy ambiance, delicious food",2024-01-06 17:59:27
169,99,7,23,61,1,The food was absolutely delicious and the service was top-notch! A truly great,2024-03-02 03:52:01
170,47,1,24,50,3,"I had a wonderful dining experience at this restaurant! The food was delicious,",2024-03-14 18:25:15
171,30,8,45,130,2,The food was delicious and the service was excellent. Highly recommend this restaurant for,2024-02-17 22:31:35
172,31,26,69,166,5,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-03-15 12:04:12
173,8,46,37,178,3,"""The food was delicious, the service was fantastic, and the ambiance was cozy",2024-01-21 12:48:25
174,78,13,40,94,2,The food was delicious and the service was excellent. Would definitely recommend this place,2024-01-04 13:23:27
175,64,49,41,147,4,"""Amazing food, top-notch service, and a cozy ambiance made for a",2024-01-28 14:10:55
176,55,28,99,56,1,"""Absolutely delicious food with exceptional service. The ambiance was cozy and inviting.",2024-03-07 18:16:53
177,46,2,81,137,4,"""Fantastic food, great service, and a cozy atmosphere - an all-around",2024-01-08 04:56:34
178,95,39,99,155,3,"The food was delicious, the service was top-notch, and the ambiance was",2024-02-01 14:45:34
179,40,6,94,93,3,The food was delicious and service was excellent. Definitely a place worth returning to,2024-01-11 11:56:01
180,44,39,73,190,5,"Had a fantastic dining experience at this restaurant! The food was absolutely delicious,",2024-01-20 18:07:43
181,90,43,88,110,4,The food was delicious and the service was exceptional. Highly recommend this restaurant for,2024-03-02 00:20:06
182,94,47,52,109,3,"""Absolutely delicious food and exceptional service! Will definitely be coming back for more",2024-03-02 07:36:44
183,4,9,100,19,1,Had a delicious meal at this restaurant - the food was creatively presented and bursting,2024-03-09 09:39:41
184,41,24,43,175,1,"The food was delicious and the service was excellent, will definitely be coming back",2024-03-12 14:01:00
185,19,28,35,103,1,The food was delicious and the service was excellent. Would definitely recommend this restaurant,2024-01-15 06:18:56
186,60,50,34,57,2,"I had a fantastic dining experience at this restaurant - the food was delicious,",2024-03-08 01:13:41
187,64,29,24,195,4,"My recent meal at this restaurant exceeded all expectations! The food was delicious,",2024-03-14 11:53:34
188,19,31,2,122,5,"Great food, cozy ambiance, and attentive service - a delightful dining experience overall",2024-01-14 12:22:03
189,99,50,41,108,3,"I had a fantastic dining experience at this restaurant! The food was delicious,",2024-01-10 07:36:13
190,33,37,23,125,2,"Had a fantastic dining experience at this restaurant - the food was delicious, the",2024-02-27 11:37:56
191,33,24,64,182,1,"The food was delicious, the service was prompt, and the ambiance was cozy",2024-02-26 16:38:38
192,69,13,81,187,4,"The food was delicious, the service was outstanding, and the atmosphere was cozy",2024-01-08 16:43:18
193,18,9,82,175,5,The food was absolutely delicious and the service was top-notch! Would definitely recommend,2024-01-31 01:17:02
194,73,50,11,189,1,The food at this restaurant was delicious and the service was top-notch. Would,2024-02-29 05:58:10
195,98,4,79,188,4,"Fantastic dining experience at this restaurant! The food was delicious, the atmosphere was",2024-03-12 16:32:51
196,13,35,29,91,3,"The food was delicious and the service was excellent, I had a wonderful dining",2024-02-12 22:16:10
197,41,30,61,182,4,"I had a fantastic dining experience at this restaurant! The food was delicious,",2024-02-01 02:35:52
198,51,31,13,124,5,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-02-08 17:09:03
199,64,39,86,112,5,"""Fantastic food and exceptional service! We had a delightful experience and will definitely",2024-03-12 09:59:47
200,100,11,24,167,4,"""Great food, excellent service, and a cozy atmosphere - overall, a",2024-03-12 04:47:48
201,62,26,95,175,3,"""Amazing food, excellent service, and a cozy ambiance - a perfect dining",2024-03-08 14:28:18
202,48,19,16,3,4,"""Fantastic food, great service, and a cozy atmosphere - definitely recommend dining",2024-02-25 17:47:58
203,9,37,41,91,1,"Delicious food, great ambiance, and excellent service! Can't wait to",2024-02-29 04:57:14
204,62,17,76,19,3,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-03-15 02:27:11
205,44,37,66,153,2,"Had an amazing dining experience at this restaurant! The food was delicious, the",2024-02-05 19:59:33
206,95,35,78,17,5,The service was excellent and the food was delicious! Will definitely be returning to,2024-02-10 15:00:40
207,49,5,14,141,3,"The food was delicious, the service was excellent, and the atmosphere was lively",2024-01-13 17:41:23
208,57,33,28,183,3,"The food was delicious, the service was top-notch, and the ambiance was",2024-02-12 06:40:14
209,66,39,86,78,4,The food was excellent and the service was top-notch! Highly recommend this restaurant,2024-01-15 10:02:35
210,13,40,37,67,5,"The food was absolutely delicious, the service was top-notch, and the ambiance",2024-03-05 12:42:04
211,80,6,50,19,5,The food was delicious and the service was prompt and friendly. Would definitely recommend,2024-01-08 18:54:11
212,15,35,53,45,4,The food was delicious and the service was excellent! Would definitely recommend trying this,2024-02-22 02:34:48
213,66,20,61,155,2,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-03-06 18:50:48
214,67,35,33,44,5,"The food was delicious, service was excellent, and the ambiance was cozy.",2024-03-13 15:17:18
215,77,34,68,9,4,"The food was delicious, the service was impeccable, and the atmosphere was cozy",2024-01-05 14:31:29
216,83,20,1,85,5,"The food was delicious, the service was exceptional, and the atmosphere was cozy",2024-02-22 16:55:37
217,89,11,47,161,3,"I had a fantastic dining experience at this restaurant! The food was delicious,",2024-01-23 16:05:20
218,48,46,61,42,5,"Amazing food, excellent service, and a delightful ambiance - a must-visit",2024-02-09 09:22:57
219,86,38,30,56,2,"Had a fantastic evening at [Restaurant Name]! The food was delicious,",2024-02-07 22:46:30
220,63,16,100,77,1,"The food was delicious, the service was excellent, and the atmosphere was cozy",2024-02-05 06:07:14
221,27,31,53,63,2,"I had a fantastic dining experience at this restaurant! The food was delicious,",2024-01-18 01:16:17
222,94,5,35,184,1,"The food was fantastic, the service was top-notch, and the ambiance was",2024-03-12 11:11:50
223,37,7,23,166,1,"The food was delicious and expertly prepared, the service was outstanding, and",2024-02-10 00:48:02
224,28,32,15,155,1,"Had a fantastic dining experience at this restaurant! The food was delicious, the",2024-02-14 07:19:31
225,77,41,56,38,1,"""Fantastic food, excellent service, and a cozy atmosphere - highly recommended for",2024-01-10 10:06:06
226,60,14,75,195,4,"The food was absolutely delicious, and the service was attentive and friendly. A",2024-02-21 22:43:45
227,86,5,11,112,3,"Had a fantastic dining experience at this restaurant! The food was delicious, the",2024-01-26 13:00:04
228,49,2,4,63,5,"""Amazing experience at this restaurant! The food was delicious, the service was",2024-01-23 17:30:49
229,33,29,43,168,1,"""Fantastic dining experience at [Restaurant Name]! The food was delicious,",2024-02-02 17:02:24
230,44,46,47,52,4,"The food at this restaurant was absolutely delicious, and the service was top-notch",2024-01-30 09:05:01
231,1,42,42,88,5,The food was absolutely delicious and the service was top-notch. A great dining,2024-03-05 08:22:28
232,96,33,80,78,5,"The service was exceptional and the dishes were beautifully presented, truly a delightful dining",2024-01-19 14:08:49
233,39,32,56,57,3,"""Fantastic dining experience at this restaurant - the food was exceptional, the service",2024-02-16 22:01:55
234,34,24,34,189,3,The food was exceptional and the service was top-notch. A must-visit,2024-01-10 20:56:48
235,49,47,77,126,1,"""Absolutely delicious food and exceptional service! Will definitely be returning to try more",2024-02-25 15:14:20
236,41,48,78,155,5,Loved the cozy atmosphere and the delicious flavors of the dishes. The service,2024-02-16 08:32:30
237,72,7,68,55,3,The food at this restaurant was absolutely delicious and the service was top-notch.,2024-03-09 05:42:58
238,2,47,4,106,3,The food was absolutely delicious and the service was top-notch. Would definitely recommend,2024-01-13 23:03:11
239,70,18,60,196,3,"""Delicious food, cozy atmosphere, and fantastic service - a must-",2024-01-14 17:13:05
240,22,38,58,100,1,"Great experience at this restaurant! The food was delicious, the service was top",2024-02-27 07:33:14
241,86,18,44,50,4,The food was delicious and the service was great. I highly recommend this restaurant,2024-02-08 19:41:21
242,36,33,31,23,3,"The food was delicious, the service was impeccable, and the atmosphere was charming",2024-03-14 11:10:25
243,4,19,34,104,1,"I had a fantastic dining experience at this restaurant! The food was delicious,",2024-02-10 00:42:12
244,20,28,53,136,5,The food was delicious and the service was exceptional. Will definitely be returning soon,2024-03-08 00:07:22
245,11,41,66,160,3,"""The food was delicious, the service was top-notch, and the ambiance was",2024-01-24 17:34:31
246,15,38,15,160,3,"The food was delicious, the service was impeccable, and the atmosphere was cozy",2024-02-23 20:08:14
247,10,50,14,66,4,"The food was amazing, service was top-notch and the ambiance was perfect -",2024-01-14 21:19:37
248,11,36,55,173,2,"I had a fantastic dining experience at this restaurant! The food was delicious,",2024-03-10 01:14:37
249,46,3,26,26,4,The food was absolutely delicious and the service was impeccable. Will definitely be coming,2024-01-09 20:12:37
250,37,22,100,41,1,"The food was delicious and the service was excellent, definitely a must-visit",2024-02-28 06:17:26
251,95,30,89,161,2,"""This restaurant exceeded my expectations with its flavorful dishes, friendly staff, and cozy",2024-01-12 18:39:51
252,76,50,37,33,1,"Great atmosphere, delicious food, and exceptional service! Will definitely be returning soon",2024-03-02 11:31:29
253,10,23,85,152,5,"The food was delicious, the service was excellent, and the ambiance was lovely",2024-01-06 12:37:21
254,85,47,58,34,2,The food was delicious and the service was exceptional. Definitely recommend this restaurant for,2024-03-02 05:37:47
255,45,38,98,101,5,"The food was absolutely delicious, service was top-notch, and the ambiance was",2024-03-01 13:41:26
256,18,10,32,198,4,"I had an incredible dining experience at this restaurant - the food was delicious,",2024-03-16 13:34:21
257,38,47,42,10,5,"Had a fantastic dining experience at this restaurant - the food was delicious, the",2024-01-04 14:21:21
258,50,38,50,199,5,"The restaurant had a cozy ambiance, excellent service, and delicious food - a",2024-02-17 13:06:44
259,27,9,63,39,5,Had a delicious meal at this restaurant! The food was flavorful and the service,2024-02-28 16:41:09
260,38,37,78,123,5,"The food at this restaurant was exceptional, with great flavors and presentation. The",2024-03-14 06:33:27
261,17,45,96,106,1,"The food was delicious, the service was excellent, and the atmosphere was cozy",2024-01-07 01:10:02
262,71,28,26,117,1,"The food was delicious, the service was excellent, and the atmosphere was cozy",2024-01-05 14:02:20
263,34,18,93,122,4,"""Delicious food, excellent service, and a cozy atmosphere - a perfect",2024-01-03 11:32:46
264,85,10,33,67,2,"The food was delicious and the service was excellent, I had a great dining",2024-02-04 03:01:57
265,100,48,93,96,1,The food was absolutely delicious and the service was top-notch! Would definitely recommend,2024-02-03 19:59:56
